serial_number;product_model;purchase_date;registration_date;country;source_note
R1720374;;2021-01-11;2021-01-23;RU;mailchimp
1047491;MeoSport R;2023-09-20;2023-10-11;CZ;mailchimp
B22200111;MeoPro Optika HD;2022-12-23;2022-12-28;CZ;mailchimp
R21106915;MeoPro Optika6;2022-08-21;2022-09-05;US;mailchimp
R22133063;MeoPro Optika5;2024-03-08;2023-11-05;US;mailchimp
R19110451;;2021-06-01;2021-01-08;NO;mailchimp
R21124657;MeoPro Optika6;2022-01-27;2022-01-31;HR;mailchimp
R23102245;MeoPro Optika6;2023-10-02;2023-10-04;PL;mailchimp
R22504747;MeoSport R;2022-02-11;2022-11-10;SK;mailchimp
R21113185;MeoPro Optika6;2021-12-23;2021-12-24;US;mailchimp
220379;MeoStar B1 Plus;2022-09-07;2022-09-12;CZ;mailchimp
b20300527;MeoPro Optika LR;2021-08-30;2021-08-31;CZ;mailchimp
03926514371110;MeoStar R2;2023-10-26;2023-10-30;CZ;mailchimp
R2100534;MeoStar R2;2023-08-19;2023-08-19;EE;mailchimp
R21126122;MeoPro Optika5;2022-08-12;2022-11-30;FI;mailchimp
R20105047;;2021-01-20;2021-02-11;FI;mailchimp
181 781;MeoStar B1 Plus;2018-02-10;2024-03-02;SK;mailchimp
21200161;MeoPro HD Plus;2022-10-24;2022-10-27;US;mailchimp
B22200179;MeoPro Optika HD;2022-06-23;2022-06-24;US;mailchimp
R22120540;MeoPro Optika6;2022-10-22;2023-05-13;DE;mailchimp
B21d00381;MeoPro Optika LR;2023-06-19;2023-06-22;US;mailchimp
0392 6514 372110E;MeoStar R2;2022-08-18;2022-09-09;SE;mailchimp
R20116035;MeoPro Optika6;2021-12-01;2022-01-05;US;mailchimp
R21104935;MeoPro Optika6;2021-05-08;2021-05-08;FI;mailchimp
R2100047;MeoStar R1;2022-03-16;2022-03-21;SE;mailchimp
R22125557;MeoPro Optika5;2023-04-19;2023-05-14;SI;mailchimp
R21500914;MeoSport R;2022-06-01;2022-06-01;US;mailchimp
R21119065;MeoPro Optika6;2022-02-18;2022-02-19;HR;mailchimp
8594050731639;MeoStar R2;2022-09-21;2022-10-01;DE;mailchimp
R22117134;MeoPro Optika6;2023-05-04;2023-05-20;US;mailchimp
R22111592;MeoPro Optika6;2023-03-22;2023-03-25;BG;mailchimp
R22104172;MeoPro Optika6;2022-04-13;2022-04-22;DE;mailchimp
R21130934;MeoPro Optika5;2024-03-03;2024-04-07;FI;mailchimp
R21105718;MeoPro Optika6;2021-09-21;2021-09-21;BG;mailchimp
R21132167;MeoPro Optika6;2023-09-15;2023-09-15;FI;mailchimp
B20201647;MeoPro Air;2021-10-04;2021-10-20;CZ;mailchimp
B20201382;MeoPro Air;2023-02-16;2023-02-18;NL;mailchimp
2120161;MeoPro HD;2023-05-29;2022-03-05;US;mailchimp
R21131322;MeoPro Optika5;2023-01-31;2023-02-02;FI;mailchimp
B22200011;MeoPro Optika HD;2023-05-22;2023-06-18;SI;mailchimp
S1253356;MeoPro Optika LR;2020-02-08;2021-02-23;CZ;mailchimp
R22137170;MeoPro Optika6;2023-07-19;2023-09-04;HU;mailchimp
R21101729;MeoPro Optika6;2021-10-07;2021-10-09;US;mailchimp
R22105274;MeoPro Optika6;2023-07-05;2023-05-09;DE;mailchimp
B22201773;MeoPro Air;2023-08-28;2023-09-09;US;mailchimp
R22135831;MeoPro Optika6;2023-10-27;2023-10-30;AU;mailchimp
R21111745;MeoPro Optika6;2021-09-21;2021-09-27;RU;mailchimp
1032368 A;MeoPro Air;2021-05-13;2021-05-14;NL;mailchimp
R21131222;MeoPro Optika5;2022-01-04;2022-04-12;FI;mailchimp
B21206537;MeoPro Optika HD;2022-05-31;2022-06-04;NO;mailchimp
1047491B;MeoSport R;2024-01-13;2024-01-16;HU;mailchimp
R22106408;MeoPro Optika6;2023-07-22;2023-07-25;FI;mailchimp
R21107037;MeoPro Optika6;2022-10-18;2022-10-25;CZ;mailchimp
R21119505;MeoPro Optika6;2022-02-07;2022-02-10;FI;mailchimp
20028;Other;2023-07-03;2023-03-25;AT;mailchimp
R22129392;MeoPro Optika5;2023-07-30;2023-08-03;AU;mailchimp
1027201 B;MeoPro Optika6;2022-09-26;2022-10-03;HR;mailchimp
170422;Other;2023-11-28;2023-12-08;CZ;mailchimp
B190497;MeoPro HD;2020-07-01;2022-12-21;US;mailchimp
B21204677;MeoPro Air;2022-04-21;2022-05-06;CZ;mailchimp
R22114410;MeoPro Optika6;2023-10-11;2023-10-18;US;mailchimp
R2204164;MeoStar R1;2022-12-29;2022-12-29;NO;mailchimp
R20117465;MeoPro Optika6;2022-06-03;2022-06-04;HU;mailchimp
R19111340;MeoPro Optika6;2021-03-02;2021-04-06;DE;mailchimp
R21103517;MeoPro Optika6;2021-12-18;2021-12-24;FR;mailchimp
R22502091;MeoSport R;2022-10-13;2022-10-19;HR;mailchimp
R20111470;MeoPro Optika5;2021-03-28;2021-04-04;US;mailchimp
R22127116;MeoPro Optika5;2023-11-29;2023-12-14;US;mailchimp
R19110405;MeoPro Optika6;2022-06-22;2022-06-22;NO;mailchimp
R21125093;MeoPro Optika6;2023-02-21;2023-03-02;US;mailchimp
1032563 B;MeoPro Optika5;2023-04-17;2023-04-17;CA;mailchimp
R22123354;MeoPro Optika6;2022-10-17;2022-10-22;US;mailchimp
20146;TGA 75 Plus;2023-01-07;2023-07-01;AT;mailchimp
R22110733;MeoPro Optika6;2022-11-28;2021-06-15;SE;mailchimp
R22500528;MeoSport R;2022-06-01;2022-06-03;AT;mailchimp
653656;MeoPro Optika6;2021-12-10;2022-08-14;US;mailchimp
R22103648;MeoPro Optika6;2023-10-13;2023-10-26;LV;mailchimp
R21120952;MeoPro Optika5;2023-05-07;2023-07-05;AU;mailchimp
R2300565;MeoStar R2;2024-03-27;2024-03-27;FR;mailchimp
B22203857;MeoPro Optika HD;2023-09-23;2023-10-03;IT;mailchimp
1028764C;MeoPro Optika HD;2022-02-25;2022-02-25;AT;mailchimp
220473;MeoStar B1 Plus;2023-10-30;2023-11-04;CZ;mailchimp
R22515194;MeoSport R;2023-12-21;2023-12-31;FI;mailchimp
R21114329;MeoPro Optika6;2022-03-21;2022-03-30;NO;mailchimp
B20300917;MeoPro Optika LR;2022-08-15;2022-09-06;AU;mailchimp
R21132714;MeoPro Optika6;2022-10-05;2022-11-14;US;mailchimp
R20117823;MeoPro Optika6;2021-12-06;2022-02-21;AU;mailchimp
22200147;MeoPro HD Plus;2023-11-26;2023-12-01;DE;mailchimp
R21129092;MeoPro Optika6;2023-05-19;2023-05-19;FI;mailchimp
R20109114;;2021-01-14;2021-01-25;DE;mailchimp
R2201279;MeoStar R2;2022-06-17;2022-12-01;DE;mailchimp
R22116309;MeoPro Optika6;2024-04-12;2024-04-12;FI;mailchimp
R22118610;MeoPro Optika6;2022-11-28;2022-12-02;FI;mailchimp
R21107764;MeoPro Optika6;2021-08-13;2021-08-19;RU;mailchimp
1027191 B;MeoPro Optika6;2022-10-25;2022-10-27;FI;mailchimp
R22505065;MeoSport R;2022-11-23;2022-11-27;US;mailchimp
R2101910;MeoStar R1;2022-10-26;2022-12-04;HR;mailchimp
R21117771;MeoPro Optika6;2022-07-26;2024-02-24;US;mailchimp
R23504439;MeoSport R;2024-01-16;2024-01-25;US;mailchimp
2220271;MeoPro HD;2024-01-31;2024-02-23;CH;mailchimp
R23100352;MeoPro Optika6;2024-01-10;2024-01-10;FI;mailchimp
R22110213;MeoPro Optika6;2023-01-25;2023-01-25;FI;mailchimp
1027173A;MeoPro Optika6;2022-02-14;2022-02-14;SE;mailchimp
R20108061;;2021-01-01;2021-01-19;SE;mailchimp
R20102642;MeoPro Optika6;2022-04-04;2022-03-02;DE;mailchimp
R21101603;MeoPro Optika6;2021-08-20;2021-08-20;US;mailchimp
R23100150;MeoPro Optika6;2023-11-03;2023-11-03;SI;mailchimp
R20107902;;2021-03-13;2021-03-14;AU;mailchimp
R2101914;MeoStar R1;2022-01-28;2022-04-10;HR;mailchimp
R21121901;MeoPro Optika5;2022-07-11;2022-07-12;FI;mailchimp
R20105116;;2020-08-09;2020-09-09;GB;mailchimp
B19202343;;2020-06-29;2020-07-06;RU;mailchimp
R2101141;MeoStar R2;2023-01-25;2023-01-30;CZ;mailchimp
r21125304;MeoPro Optika6;2023-03-03;2023-02-02;AU;mailchimp
R2202195;MeoStar R2;2023-10-12;2023-10-17;SE;mailchimp
R21120333;MeoPro Optika5;2022-02-04;2022-02-07;CZ;mailchimp
R21117497;MeoPro Optika5;2022-01-06;2021-12-15;US;mailchimp
R221285629;MeoPro Optika5;2023-10-07;2023-10-11;US;mailchimp
210290;MeoStar B1 Plus;2021-10-05;2021-10-14;US;mailchimp
R21111581;MeoPro Optika6;2021-10-10;2021-12-15;RU;mailchimp
1028342 b;MeoPro Optika6;2022-06-09;2022-06-10;LT;mailchimp
B21201153;MeoPro Optika HD;2021-12-13;2021-12-13;US;mailchimp
R21112980;MeoPro Optika6;2022-12-30;2023-01-02;US;mailchimp
R1903877;MeoPro;2024-04-08;2022-03-19;US;mailchimp
R22120520;MeoPro Optika6;2023-04-26;2023-04-26;LV;mailchimp
2120192;MeoPro;2021-11-12;2021-12-06;CA;mailchimp
22200505;MeoPro HD Plus;2023-12-13;2023-12-25;CZ;mailchimp
22200350;MeoPro HD Plus;2023-11-25;2023-12-10;CZ;mailchimp
b22200333;MeoPro Air;2022-10-12;2022-10-10;KR;mailchimp
R21118738;MeoPro Optika6;2021-12-10;2021-12-10;US;mailchimp
B22202977;MeoPro Optika HD;2023-06-26;2023-06-28;DE;mailchimp
R1908306;MeoPro Optika LR;2023-04-28;2023-01-24;CZ;mailchimp
R22113175;MeoPro Optika5;2023-08-17;2023-08-20;FI;mailchimp
R22509153;MeoSport R;2023-03-31;2024-03-29;DE;mailchimp
B22300404;MeoPro Optika HD;2023-11-11;2023-12-31;DE;mailchimp
B21204188;MeoPro Air;2022-04-27;2022-05-01;CZ;mailchimp
R22116909;MeoPro Optika6;2023-05-18;2023-05-18;FI;mailchimp
R20117984;MeoPro Optika6;2022-02-16;2022-02-21;IT;mailchimp
B22203710;MeoPro Optika HD;2023-12-10;2023-12-30;CZ;mailchimp
R22505945;MeoSport R;2023-02-09;2023-02-16;SK;mailchimp
1028338 A;;2021-08-09;2021-08-23;AU;mailchimp
R0705849;Other;2023-10-13;2023-10-15;US;mailchimp
653656;MeoPro Optika6;2022-12-16;2022-12-20;DE;mailchimp
1047491 B;MeoSport R;2023-01-06;2023-06-05;FI;mailchimp
R19108210;;2020-02-18;2020-02-18;FI;mailchimp
B21206671;MeoPro Optika HD;2022-02-17;2022-02-24;DE;mailchimp
R22101622;MeoPro Optika6;2022-05-17;2022-05-19;US;mailchimp
R20107233;;2020-11-17;2020-11-17;DE;mailchimp
B21208295;MeoPro Optika HD;2023-09-04;2023-09-06;BE;mailchimp
R2201872;MeoStar R2;2022-11-07;2022-11-11;SE;mailchimp
1027149 B;MeoPro Optika5;2023-02-18;2023-02-19;FI;mailchimp
R22505773;MeoSport R;2022-11-04;2022-11-08;FI;mailchimp
R2203412;MeoStar R1;2023-10-24;2023-10-27;FR;mailchimp
R22123256;MeoPro Optika6;2023-01-30;2023-02-02;FI;mailchimp
B23300271;MeoPro Optika LR;2023-11-29;2023-11-29;CZ;mailchimp
R22511774;MeoSport R;2023-12-01;2023-12-13;DE;mailchimp
B21200663;MeoPro Optika HD;2021-11-26;2021-11-27;FI;mailchimp
R22132310;MeoPro Optika5;2023-02-21;2023-03-02;US;mailchimp
R22103539;MeoPro Optika6;2022-08-12;2022-08-12;FI;mailchimp
R22127768;MeoPro Optika6;2023-10-04;2023-03-09;HU;mailchimp
R19107774;;2020-07-09;2020-09-07;LV;mailchimp
B20201284;;2021-05-06;2021-05-06;NL;mailchimp
R21112210;MeoPro Optika6;2021-05-11;2021-11-06;RU;mailchimp
230378;MeoStar B1 Plus;2023-12-01;2023-12-07;SK;mailchimp
R22108814;MeoPro Optika6;2023-04-05;2023-04-05;AT;mailchimp
B20300750;MeoPro Optika LR;1963-05-08;2023-08-05;FI;mailchimp
R21128185;MeoPro Optika6;2023-10-03;2023-03-12;DE;mailchimp
R21127111;;2022-01-13;2021-08-03;PL;mailchimp
B19201463;MeoPro Optika HD;2019-11-07;2023-03-06;US;mailchimp
R21128402;MeoPro Optika5;2022-03-23;2022-04-01;DE;mailchimp
8594050734913;MeoPro Optika6;2023-12-01;2023-01-13;FI;mailchimp
R22516986;MeoSport R;2023-06-10;2023-10-06;DE;mailchimp
B20210871;MeoPro Optika HD;2022-01-14;2022-01-14;AU;mailchimp
R22126154;MeoPro Optika5;2022-10-05;2022-10-06;US;mailchimp
R20100078;MeoPro Optika6;2020-05-29;2021-03-04;FI;mailchimp
R20114529;;2021-01-04;2021-01-07;FI;mailchimp
653592;MeoPro Optika6;2023-03-05;2022-06-10;US;mailchimp
R22131057;MeoPro;2023-06-09;2023-06-12;FI;mailchimp
R201117640;MeoPro Optika6;2021-06-21;2021-12-28;DE;mailchimp
R20115575;;2022-09-06;2022-09-07;FI;mailchimp
B22200434;MeoPro Air;2023-11-28;2023-12-14;CZ;mailchimp
129016;MeoPro Optika5;2023-03-06;2023-06-03;AU;mailchimp
B22200601;MeoPro Optika HD;2023-12-01;2024-01-11;DK;mailchimp
R22507546;MeoSport R;2022-10-22;2022-10-25;US;mailchimp
1027173A;;2001-04-08;2021-04-08;SE;mailchimp
R21123287;MeoPro Optika6;2022-07-27;2022-07-27;DE;mailchimp
22200768;MeoPro HD Plus;2023-07-08;2023-08-07;CZ;mailchimp
R21500893;MeoSport R;2022-05-26;2022-05-26;HR;mailchimp
R22133317;MeoPro Optika5;2023-01-20;2023-01-25;US;mailchimp
R21131550;MeoPro Optika6;2022-05-13;2022-05-18;SE;mailchimp
23400097;Other;2023-08-16;2023-08-16;FI;mailchimp
R1608727;MeoPro;2021-09-24;2021-09-24;AU;mailchimp
2220284;MeoPro Optika HD;2023-09-14;2023-09-24;CZ;mailchimp
R19109866;;2020-06-10;2020-10-06;LV;mailchimp
R24100774;MeoPro Optika6;2024-03-04;2024-04-06;FI;mailchimp
R20113566;MeoPro Optika6;2022-04-15;2023-02-19;UA;mailchimp
R22113461;MeoPro Optika5;2023-01-09;2023-09-03;NO;mailchimp
R22512873;MeoSport R;2023-11-27;2021-12-02;FI;mailchimp
180359;Other;2024-01-12;2024-01-15;CZ;mailchimp
R22100278;MeoPro Optika6;2023-11-27;2023-11-30;DE;mailchimp
R21500862;MeoSport R;2022-07-27;2022-07-29;DE;mailchimp
1027173B;MeoPro Optika6;2023-04-05;2023-06-21;HU;mailchimp
R21122377;MeoPro Optika6;2022-07-25;2022-07-27;BG;mailchimp
1027149 B;MeoPro Optika6;2024-07-22;2024-07-24;FI;mailchimp
R21120748;MeoPro Optika5;2022-09-08;2022-09-08;US;mailchimp
B20201861;MeoPro Air;2021-06-08;2021-08-24;DE;mailchimp
R1907094;;2021-09-17;2021-09-17;FI;mailchimp
R22513105;MeoSport R;2023-06-29;2023-06-29;FI;mailchimp
B22203973;MeoPro Optika HD;2023-01-18;2023-03-22;AU;mailchimp
R22118742;MeoPro Optika6;2022-11-29;2022-12-05;HU;mailchimp
R20113198;MeoPro Optika6;2021-11-05;2021-11-08;FR;mailchimp
R2200342;MeoStar R2;2022-09-13;2022-09-18;PL;mailchimp
R22103391;MeoPro Optika6;2022-09-12;2022-12-01;FI;mailchimp
R21111471;MeoPro Optika6;2023-11-03;2022-02-12;FI;mailchimp
1047491 B;MeoSport R;2022-11-13;2022-11-16;SK;mailchimp
09200;MeoPro;2022-11-02;2022-11-25;CA;mailchimp
2004793002/8594050735712;MeoPro Optika6;2023-11-04;2023-05-10;DE;mailchimp
R23102702;MeoPro Optika6;2024-04-05;2024-04-05;AU;mailchimp
R21123358;MeoPro Optika6;2021-12-29;2021-12-29;FI;mailchimp
B21206126;MeoPro Optika HD;2023-01-24;2023-01-31;AT;mailchimp
R21133338;MeoPro Optika6;2022-02-04;2022-04-03;BG;mailchimp
R22516586;MeoSport R;2023-08-04;2023-10-12;FI;mailchimp
3;MeoSport R;2023-07-23;2023-07-30;FI;mailchimp
821200216;MeoPro Optika HD;2021-01-07;2021-07-17;IT;mailchimp
R2200153;MeoStar R2;2022-10-19;2022-10-27;US;mailchimp
R21100453;MeoPro Optika6;2021-07-28;2021-07-29;DE;mailchimp
R22110585;MeoPro Optika6;2023-06-06;2023-06-06;US;mailchimp
B22201717;MeoPro Optika HD;2022-07-10;2022-05-07;DE;mailchimp
R19107742;;2020-10-15;2020-10-15;LV;mailchimp
R1815253;MeoStar R1;2022-11-22;2022-12-14;US;mailchimp
B21206184;MeoPro Optika HD;2022-04-18;2022-04-18;BG;mailchimp
B22200436;MeoPro Optika HD;2023-05-29;2023-05-30;FI;mailchimp
R21120294;MeoPro Optika5;2022-08-01;2022-08-19;US;mailchimp
R22100412;MeoPro Optika6;2024-02-06;2024-02-06;SI;mailchimp
R21108347;MeoPro Optika6;2021-07-15;2021-07-26;US;mailchimp
R22118173;MeoPro Optika6;2024-11-03;2024-03-11;HR;mailchimp
B21204289;MeoPro Air;2022-06-08;2022-06-13;CZ;mailchimp
R22511458;MeoSport R;2023-05-05;2023-05-08;AT;mailchimp
R22513366;MeoSport R;2023-05-16;2023-05-16;RS;mailchimp
B20300323;MeoPro Optika LR;2021-09-25;2021-09-29;US;mailchimp
1027151B / R21133355;MeoPro Optika6;2023-12-16;2023-12-16;FI;mailchimp
R23100911;MeoPro Optika6;2023-10-16;2023-11-14;FI;mailchimp
B22202583;MeoPro Optika HD;2022-08-18;2022-08-25;NZ;mailchimp
R23504182;MeoSport R;2023-08-21;2023-08-29;SK;mailchimp
R22108365;MeoPro Optika6;2023-08-31;2023-09-29;CZ;mailchimp
B21207167;MeoPro Optika HD;2022-06-12;2022-06-16;US;mailchimp
R21125953;MeoPro Optika6;2022-08-21;2022-08-23;FI;mailchimp
B21200181;MeoPro Optika HD;2021-08-25;2021-09-17;US;mailchimp
R22514265;MeoSport R;2023-10-03;2023-10-03;FI;mailchimp
1027177B;MeoPro Optika6;2023-07-14;2023-07-14;FI;mailchimp
R20116474;MeoPro Optika6;2021-07-08;2021-07-13;DE;mailchimp
B21206893;MeoPro Optika HD;2022-04-25;2022-04-29;AT;mailchimp
R22113174;MeoPro Optika5;2022-07-25;2022-03-02;CA;mailchimp
22401093;MeoSight IV;2023-11-22;2023-11-22;FI;mailchimp
R22500187;MeoSport R;2022-10-22;2022-10-28;AU;mailchimp
B22203124;MeoPro Optika HD;2023-04-19;2023-04-20;US;mailchimp
r21107511;MeoPro Optika6;2021-06-02;2021-07-07;CA;mailchimp
R21118777;MeoPro Optika6;2022-07-22;2022-08-03;SE;mailchimp
R19110823;MeoPro Optika6;2022-01-31;2022-02-21;DK;mailchimp
R22514780;MeoSport R;2023-07-14;2023-08-06;PL;mailchimp
1OO6903;MeoPro HD;2022-12-08;2022-08-15;CZ;mailchimp
R21107152;MeoPro Optika6;2024-02-10;2024-02-19;US;mailchimp
R1310300;MeoStar R1;2014-07-02;2022-11-05;SE;mailchimp
R22517284;MeoSport R;2023-10-23;2023-10-28;SK;mailchimp
R22129441;MeoPro Optika5;2023-01-29;2023-02-03;DE;mailchimp
1047491 B;MeoSport R;2022-09-28;2022-10-04;FI;mailchimp
R22503912;MeoSport R;2023-08-02;2023-03-04;PL;mailchimp
